,Time [min],Hotel Floor,Waiting Time [m],# People Waiting
0,0.0,0,0.0,0.0
0,0.05,1,0.0,0.0
0,0.05,0,0.0,0.0
1,0.05,1,0.0,0.0
2,0.05,2,0.0,0.0
3,0.05,3,0.0,0.0
4,0.05,4,0.1,4.0
5,0.05,5,0.0,0.0
0,0.1,2,0.0,0.0
0,0.1,0,0.0,0.0
1,0.1,1,0.1,1.0
2,0.1,2,0.0,0.0
3,0.1,3,0.0,0.0
4,0.1,4,0.15000000000000002,4.0
5,0.1,5,0.0,0.0
0,0.15000000000000002,1,0.0,0.0
0,0.15000000000000002,0,0.0,0.0
1,0.15000000000000002,1,0.2,2.0
2,0.15000000000000002,2,0.0,0.0
3,0.15000000000000002,3,0.0,0.0
4,0.15000000000000002,4,0.2,4.0
5,0.15000000000000002,5,0.0,0.0
0,0.2,1,3.0,3.0
0,0.2,0,0.0,0.0
1,0.2,1,0.0,0.0
2,0.2,2,0.0,0.0
3,0.2,3,0.0,0.0
4,0.2,4,0.25,4.0
5,0.2,5,0.0,0.0
0,0.25,2,3.0,3.0
0,0.25,0,0.0,0.0
1,0.25,1,0.0,0.0
2,0.25,2,0.0,0.0
3,0.25,3,0.0,0.0
4,0.25,4,0.35,5.0
5,0.25,5,0.0,0.0
0,0.30000000000000004,3,3.0,3.0
0,0.30000000000000004,0,0.0,0.0
1,0.30000000000000004,1,0.1,2.0
2,0.30000000000000004,2,0.0,0.0
3,0.30000000000000004,3,0.0,0.0
4,0.30000000000000004,4,0.39999999999999997,5.0
5,0.30000000000000004,5,0.0,0.0
0,0.35000000000000003,4,3.0,3.0
0,0.35000000000000003,0,0.0,0.0
1,0.35000000000000003,1,0.2,3.0
2,0.35000000000000003,2,0.0,0.0
3,0.35000000000000003,3,0.0,0.0
4,0.35000000000000003,4,0.44999999999999996,5.0
5,0.35000000000000003,5,0.0,0.0
0,0.4,4,8.0,8.0
0,0.4,0,0.0,0.0
1,0.4,1,0.25,3.0
2,0.4,2,0.0,0.0
3,0.4,3,0.0,0.0
4,0.4,4,0.0,0.0
5,0.4,5,0.1,1.0
0,0.45,3,8.0,8.0
0,0.45,0,0.0,0.0
1,0.45,1,0.35,4.0
2,0.45,2,0.0,0.0
3,0.45,3,0.0,0.0
4,0.45,4,0.0,0.0
5,0.45,5,0.15000000000000002,1.0
0,0.5,2,8.0,8.0
0,0.5,0,0.0,0.0
1,0.5,1,0.39999999999999997,4.0
2,0.5,2,0.0,0.0
3,0.5,3,0.0,0.0
4,0.5,4,0.1,1.0
5,0.5,5,0.2,1.0
0,0.55,1,8.0,8.0
0,0.55,0,0.0,0.0
1,0.55,1,0.44999999999999996,4.0
2,0.55,2,0.0,0.0
3,0.55,3,0.0,0.0
4,0.55,4,0.2,2.0
5,0.55,5,0.25,1.0
0,0.6000000000000001,1,12.0,12.0
0,0.6000000000000001,0,0.0,0.0
1,0.6000000000000001,1,0.0,0.0
2,0.6000000000000001,2,0.0,0.0
3,0.6000000000000001,3,0.0,0.0
4,0.6000000000000001,4,0.25,2.0
5,0.6000000000000001,5,0.35,2.0
0,0.65,2,12.0,12.0
0,0.65,0,0.0,0.0
1,0.65,1,0.0,0.0
2,0.65,2,0.1,1.0
3,0.65,3,0.0,0.0
4,0.65,4,0.3,2.0
5,0.65,5,0.39999999999999997,2.0
0,0.7000000000000001,3,12.0,12.0
0,0.7000000000000001,0,0.0,0.0
1,0.7000000000000001,1,0.0,0.0
2,0.7000000000000001,2,0.2,3.0
3,0.7000000000000001,3,0.0,0.0
4,0.7000000000000001,4,0.35,2.0
5,0.7000000000000001,5,0.44999999999999996,2.0
0,0.75,4,12.0,12.0
0,0.75,0,0.0,0.0
1,0.75,1,0.0,0.0
2,0.75,2,0.3,4.0
3,0.75,3,0.0,0.0
4,0.75,4,0.39999999999999997,2.0
5,0.75,5,0.49999999999999994,2.0
0,0.8,5,12.0,12.0
0,0.8,0,0.0,0.0
1,0.8,1,0.1,1.0
2,0.8,2,0.35,4.0
3,0.8,3,0.0,0.0
4,0.8,4,0.44999999999999996,2.0
5,0.8,5,0.5499999999999999,2.0
0,0.8500000000000001,5,14.0,14.0
0,0.8500000000000001,0,0.0,0.0
1,0.8500000000000001,1,0.15000000000000002,1.0
2,0.8500000000000001,2,0.39999999999999997,4.0
3,0.8500000000000001,3,0.1,4.0
4,0.8500000000000001,4,0.49999999999999994,2.0
5,0.8500000000000001,5,0.0,0.0
0,0.9,4,14.0,14.0
0,0.9,0,0.0,0.0
1,0.9,1,0.25,2.0
2,0.9,2,0.44999999999999996,4.0
3,0.9,3,0.15000000000000002,4.0
4,0.9,4,0.5499999999999999,2.0
5,0.9,5,0.0,0.0
0,0.9500000000000001,4,15.0,15.0
0,0.9500000000000001,0,0.0,0.0
1,0.9500000000000001,1,0.3,2.0
2,0.9500000000000001,2,0.49999999999999994,4.0
3,0.9500000000000001,3,0.2,4.0
4,0.9500000000000001,4,0.0,2.0
5,0.9500000000000001,5,0.0,0.0
0,1.0,3,15.0,15.0
0,1.0,0,0.0,0.0
1,1.0,1,0.35,2.0
2,1.0,2,0.6,5.0
3,1.0,3,0.25,4.0
4,1.0,4,0.0,2.0
5,1.0,5,0.0,0.0
0,1.05,2,15.0,15.0
0,1.05,0,0.0,0.0
1,1.05,1,0.39999999999999997,2.0
2,1.05,2,0.65,5.0
3,1.05,3,0.3,4.0
4,1.05,4,0.1,3.0
5,1.05,5,0.0,0.0
0,1.1,1,15.0,15.0
0,1.1,0,0.0,0.0
1,1.1,1,0.44999999999999996,2.0
2,1.1,2,0.7000000000000001,5.0
3,1.1,3,0.35,4.0
4,1.1,4,0.2,7.0
5,1.1,5,0.0,0.0
0,1.1500000000000001,0,15.0,15.0
0,1.1500000000000001,0,0.0,0.0
1,1.1500000000000001,1,0.5499999999999999,4.0
2,1.1500000000000001,2,0.7500000000000001,5.0
3,1.1500000000000001,3,0.39999999999999997,4.0
4,1.1500000000000001,4,0.25,7.0
5,1.1500000000000001,5,0.0,0.0
0,1.2000000000000002,0,0.0,0.0
0,1.2000000000000002,0,0.0,0.0
1,1.2000000000000002,1,0.6,4.0
2,1.2000000000000002,2,0.8500000000000002,6.0
3,1.2000000000000002,3,0.44999999999999996,4.0
4,1.2000000000000002,4,0.3,7.0
5,1.2000000000000002,5,0.0,0.0
0,1.25,1,0.0,0.0
0,1.25,0,0.0,0.0
1,1.25,1,0.65,4.0
2,1.25,2,0.9000000000000002,6.0
3,1.25,3,0.49999999999999994,4.0
4,1.25,4,0.35,7.0
5,1.25,5,0.1,1.0
0,1.3,2,0.0,0.0
0,1.3,0,0.0,0.0
1,1.3,1,0.7000000000000001,4.0
2,1.3,2,0.9500000000000003,6.0
3,1.3,3,0.5499999999999999,4.0
4,1.3,4,0.44999999999999996,8.0
5,1.3,5,0.15000000000000002,1.0
0,1.35,2,6.0,6.0
0,1.35,0,0.0,0.0
1,1.35,1,0.7500000000000001,4.0
2,1.35,2,0.0,0.0
3,1.35,3,0.65,5.0
4,1.35,4,0.49999999999999994,8.0
5,1.35,5,0.2,1.0
0,1.4000000000000001,1,6.0,6.0
0,1.4000000000000001,0,0.0,0.0
1,1.4000000000000001,1,0.8000000000000002,4.0
2,1.4000000000000001,2,0.0,0.0
3,1.4000000000000001,3,0.7500000000000001,9.0
4,1.4000000000000001,4,0.5499999999999999,8.0
5,1.4000000000000001,5,0.25,1.0
0,1.4500000000000002,1,10.0,10.0
0,1.4500000000000002,0,0.0,0.0
1,1.4500000000000002,1,0.0,0.0
2,1.4500000000000002,2,0.1,2.0
3,1.4500000000000002,3,0.8000000000000002,9.0
4,1.4500000000000002,4,0.6,8.0
5,1.4500000000000002,5,0.3,1.0
0,1.5,2,10.0,10.0
0,1.5,0,0.0,0.0
1,1.5,1,0.1,1.0
2,1.5,2,0.15000000000000002,2.0
3,1.5,3,0.8500000000000002,9.0
4,1.5,4,0.65,8.0
5,1.5,5,0.35,1.0
0,1.55,3,10.0,10.0
0,1.55,0,0.0,0.0
1,1.55,1,0.15000000000000002,1.0
2,1.55,2,0.2,2.0
3,1.55,3,0.9000000000000002,9.0
4,1.55,4,0.7500000000000001,11.0
5,1.55,5,0.39999999999999997,1.0
0,1.6,3,15.0,15.0
0,1.6,0,0.0,0.0
1,1.6,1,0.2,1.0
2,1.6,2,0.25,2.0
3,1.6,3,0.0,4.0
4,1.6,4,0.8000000000000002,11.0
5,1.6,5,0.49999999999999994,2.0
0,1.6500000000000001,2,15.0,15.0
0,1.6500000000000001,0,0.0,0.0
1,1.6500000000000001,1,0.25,1.0
2,1.6500000000000001,2,0.3,2.0
3,1.6500000000000001,3,0.1,5.0
4,1.6500000000000001,4,0.8500000000000002,11.0
5,1.6500000000000001,5,0.5499999999999999,2.0
0,1.7000000000000002,1,15.0,15.0
0,1.7000000000000002,0,0.0,0.0
1,1.7000000000000002,1,0.35,2.0
2,1.7000000000000002,2,0.35,2.0
3,1.7000000000000002,3,0.15000000000000002,5.0
4,1.7000000000000002,4,0.9000000000000002,11.0
5,1.7000000000000002,5,0.6,2.0
0,1.75,0,15.0,15.0
0,1.75,0,0.0,0.0
1,1.75,1,0.39999999999999997,2.0
2,1.75,2,0.39999999999999997,2.0
3,1.75,3,0.2,5.0
4,1.75,4,1.0000000000000002,12.0
5,1.75,5,0.65,2.0
0,1.8,0,0.0,0.0
0,1.8,0,0.0,0.0
1,1.8,1,0.44999999999999996,2.0
2,1.8,2,0.44999999999999996,2.0
3,1.8,3,0.25,5.0
4,1.8,4,1.1000000000000003,13.0
5,1.8,5,0.7000000000000001,2.0
0,1.85,1,0.0,0.0
0,1.85,0,0.0,0.0
1,1.85,1,0.49999999999999994,2.0
2,1.85,2,0.49999999999999994,2.0
3,1.85,3,0.3,5.0
4,1.85,4,1.1500000000000004,13.0
5,1.85,5,0.8000000000000002,3.0
0,1.9000000000000001,2,0.0,0.0
0,1.9000000000000001,0,0.0,0.0
1,1.9000000000000001,1,0.5499999999999999,2.0
2,1.9000000000000001,2,0.5499999999999999,2.0
3,1.9000000000000001,3,0.35,5.0
4,1.9000000000000001,4,1.2000000000000004,13.0
5,1.9000000000000001,5,0.9000000000000002,4.0
0,1.9500000000000002,3,0.0,0.0
0,1.9500000000000002,0,0.0,0.0
1,1.9500000000000002,1,0.6,2.0
2,1.9500000000000002,2,0.65,3.0
3,1.9500000000000002,3,0.39999999999999997,5.0
4,1.9500000000000002,4,1.2500000000000004,13.0
5,1.9500000000000002,5,0.9500000000000003,4.0
0,2.0,4,0.0,0.0
0,2.0,0,0.0,0.0
1,2.0,1,0.65,2.0
2,2.0,2,0.7500000000000001,4.0
3,2.0,3,0.44999999999999996,5.0
4,2.0,4,1.3000000000000005,13.0
5,2.0,5,1.0000000000000002,4.0
0,2.0500000000000003,4,13.0,13.0
0,2.0500000000000003,0,0.0,0.0
1,2.0500000000000003,1,0.7500000000000001,3.0
2,2.0500000000000003,2,0.8000000000000002,4.0
3,2.0500000000000003,3,0.49999999999999994,5.0
4,2.0500000000000003,4,0.0,0.0
5,2.0500000000000003,5,1.0500000000000003,4.0
0,2.1,5,13.0,13.0
0,2.1,0,0.0,0.0
1,2.1,1,0.8000000000000002,3.0
2,2.1,2,0.8500000000000002,4.0
3,2.1,3,0.5499999999999999,5.0
4,2.1,4,0.1,1.0
5,2.1,5,1.1000000000000003,4.0
0,2.15,5,15.0,15.0
0,2.15,0,0.0,0.0
1,2.15,1,0.8500000000000002,3.0
2,2.15,2,0.9000000000000002,4.0
3,2.15,3,0.6,5.0
4,2.15,4,0.2,2.0
5,2.15,5,0.0,2.0
0,2.2,4,15.0,15.0
0,2.2,0,0.0,0.0
1,2.2,1,0.9000000000000002,3.0
2,2.2,2,1.0000000000000002,7.0
3,2.2,3,0.65,5.0
4,2.2,4,0.25,2.0
5,2.2,5,0.0,2.0
0,2.25,3,15.0,15.0
0,2.25,0,0.0,0.0
1,2.25,1,0.9500000000000003,3.0
2,2.25,2,1.0500000000000003,7.0
3,2.25,3,0.7000000000000001,5.0
4,2.25,4,0.3,2.0
5,2.25,5,0.1,3.0
0,2.3000000000000003,2,15.0,15.0
0,2.3000000000000003,0,0.0,0.0
1,2.3000000000000003,1,1.0000000000000002,3.0
2,2.3000000000000003,2,1.1500000000000004,8.0
3,2.3000000000000003,3,0.7500000000000001,5.0
4,2.3000000000000003,4,0.35,2.0
5,2.3000000000000003,5,0.15000000000000002,3.0
0,2.35,1,15.0,15.0
0,2.35,0,0.0,0.0
1,2.35,1,1.1000000000000003,4.0
2,2.35,2,1.2000000000000004,8.0
3,2.35,3,0.8000000000000002,5.0
4,2.35,4,0.39999999999999997,2.0
5,2.35,5,0.2,3.0
0,2.4000000000000004,0,15.0,15.0
0,2.4000000000000004,0,0.0,0.0
1,2.4000000000000004,1,1.1500000000000004,4.0
2,2.4000000000000004,2,1.2500000000000004,8.0
3,2.4000000000000004,3,0.9000000000000002,7.0
4,2.4000000000000004,4,0.44999999999999996,2.0
5,2.4000000000000004,5,0.25,3.0
0,2.45,0,0.0,0.0
0,2.45,0,0.0,0.0
1,2.45,1,1.2000000000000004,4.0
2,2.45,2,1.3000000000000005,8.0
3,2.45,3,0.9500000000000003,7.0
4,2.45,4,0.5499999999999999,5.0
5,2.45,5,0.3,3.0
0,2.5,1,0.0,0.0
0,2.5,0,0.0,0.0
1,2.5,1,1.3000000000000005,5.0
2,2.5,2,1.3500000000000005,8.0
3,2.5,3,1.0000000000000002,7.0
4,2.5,4,0.6,5.0
5,2.5,5,0.35,3.0
0,2.5500000000000003,2,0.0,0.0
0,2.5500000000000003,0,0.0,0.0
1,2.5500000000000003,1,1.3500000000000005,5.0
2,2.5500000000000003,2,1.4000000000000006,8.0
3,2.5500000000000003,3,1.0500000000000003,7.0
4,2.5500000000000003,4,0.65,5.0
5,2.5500000000000003,5,0.44999999999999996,4.0
0,2.6,2,10.0,10.0
0,2.6,0,0.0,0.0
1,2.6,1,1.4000000000000006,5.0
2,2.6,2,0.0,0.0
3,2.6,3,1.1000000000000003,7.0
4,2.6,4,0.7000000000000001,5.0
5,2.6,5,0.49999999999999994,4.0
0,2.6500000000000004,1,10.0,10.0
0,2.6500000000000004,0,0.0,0.0
1,2.6500000000000004,1,1.5000000000000007,6.0
2,2.6500000000000004,2,0.0,0.0
3,2.6500000000000004,3,1.1500000000000004,7.0
4,2.6500000000000004,4,0.7500000000000001,5.0
5,2.6500000000000004,5,0.5499999999999999,4.0
0,2.7,1,15.0,15.0
0,2.7,0,0.0,0.0
1,2.7,1,0.0,1.0
2,2.7,2,0.0,0.0
3,2.7,3,1.2000000000000004,7.0
4,2.7,4,0.8000000000000002,5.0
5,2.7,5,0.65,5.0
0,2.75,0,15.0,15.0
0,2.75,0,0.0,0.0
1,2.75,1,0.1,2.0
2,2.75,2,0.0,0.0
3,2.75,3,1.2500000000000004,7.0
4,2.75,4,0.8500000000000002,5.0
5,2.75,5,0.7000000000000001,5.0
0,2.8000000000000003,0,0.0,0.0
0,2.8000000000000003,0,0.0,0.0
1,2.8000000000000003,1,0.15000000000000002,2.0
2,2.8000000000000003,2,0.1,1.0
3,2.8000000000000003,3,1.3000000000000005,7.0
4,2.8000000000000003,4,0.9000000000000002,5.0
5,2.8000000000000003,5,0.7500000000000001,5.0
0,2.85,1,0.0,0.0
0,2.85,0,0.0,0.0
1,2.85,1,0.25,3.0
2,2.85,2,0.15000000000000002,1.0
3,2.85,3,1.3500000000000005,7.0
4,2.85,4,0.9500000000000003,5.0
5,2.85,5,0.8000000000000002,5.0
0,2.9000000000000004,2,0.0,0.0
0,2.9000000000000004,0,0.0,0.0
1,2.9000000000000004,1,0.3,3.0
2,2.9000000000000004,2,0.2,1.0
3,2.9000000000000004,3,1.4000000000000006,7.0
4,2.9000000000000004,4,1.0000000000000002,5.0
5,2.9000000000000004,5,0.9000000000000002,6.0
0,2.95,3,0.0,0.0
0,2.95,0,0.0,0.0
1,2.95,1,0.35,3.0
2,2.95,2,0.25,1.0
3,2.95,3,1.4500000000000006,7.0
4,2.95,4,1.0500000000000003,5.0
5,2.95,5,1.0000000000000002,10.0
0,3.0,3,8.0,8.0
0,3.0,0,0.0,0.0
1,3.0,1,0.39999999999999997,3.0
2,3.0,2,0.3,1.0
3,3.0,3,0.0,0.0
4,3.0,4,1.1000000000000003,5.0
5,3.0,5,1.0500000000000003,10.0
0,3.0500000000000003,4,8.0,8.0
0,3.0500000000000003,0,0.0,0.0
1,3.0500000000000003,1,0.44999999999999996,3.0
2,3.0500000000000003,2,0.35,1.0
3,3.0500000000000003,3,0.0,0.0
4,3.0500000000000003,4,1.2000000000000004,6.0
5,3.0500000000000003,5,1.1000000000000003,10.0
0,3.1,4,14.0,14.0
0,3.1,0,0.0,0.0
1,3.1,1,0.5499999999999999,4.0
2,3.1,2,0.39999999999999997,1.0
3,3.1,3,0.0,0.0
4,3.1,4,0.0,0.0
5,3.1,5,1.1500000000000004,10.0
0,3.1500000000000004,5,14.0,14.0
0,3.1500000000000004,0,0.0,0.0
1,3.1500000000000004,1,0.6,4.0
2,3.1500000000000004,2,0.44999999999999996,1.0
3,3.1500000000000004,3,0.1,1.0
4,3.1500000000000004,4,0.0,0.0
5,3.1500000000000004,5,1.2000000000000004,10.0
0,3.2,5,15.0,15.0
0,3.2,0,0.0,0.0
1,3.2,1,0.65,4.0
2,3.2,2,0.49999999999999994,1.0
3,3.2,3,0.15000000000000002,1.0
4,3.2,4,0.1,1.0
5,3.2,5,0.0,9.0
0,3.25,4,15.0,15.0
0,3.25,0,0.0,0.0
1,3.25,1,0.7000000000000001,4.0
2,3.25,2,0.5499999999999999,1.0
3,3.25,3,0.2,1.0
4,3.25,4,0.15000000000000002,1.0
5,3.25,5,0.1,10.0
0,3.3000000000000003,3,15.0,15.0
0,3.3000000000000003,0,0.0,0.0
1,3.3000000000000003,1,0.7500000000000001,4.0
2,3.3000000000000003,2,0.65,2.0
3,3.3000000000000003,3,0.25,1.0
4,3.3000000000000003,4,0.2,1.0
5,3.3000000000000003,5,0.15000000000000002,10.0
0,3.35,2,15.0,15.0
0,3.35,0,0.0,0.0
1,3.35,1,0.8000000000000002,4.0
2,3.35,2,0.7500000000000001,3.0
3,3.35,3,0.3,1.0
4,3.35,4,0.25,1.0
5,3.35,5,0.2,10.0
0,3.4000000000000004,1,15.0,15.0
0,3.4000000000000004,0,0.0,0.0
1,3.4000000000000004,1,0.8500000000000002,4.0
2,3.4000000000000004,2,0.8000000000000002,3.0
3,3.4000000000000004,3,0.35,1.0
4,3.4000000000000004,4,0.35,3.0
5,3.4000000000000004,5,0.25,10.0
0,3.45,0,15.0,15.0
0,3.45,0,0.0,0.0
1,3.45,1,0.9000000000000002,4.0
2,3.45,2,0.8500000000000002,3.0
3,3.45,3,0.39999999999999997,1.0
4,3.45,4,0.39999999999999997,3.0
5,3.45,5,0.35,11.0
0,3.5,0,0.0,0.0
0,3.5,0,0.0,0.0
1,3.5,1,0.9500000000000003,4.0
2,3.5,2,0.9500000000000003,7.0
3,3.5,3,0.44999999999999996,1.0
4,3.5,4,0.44999999999999996,3.0
5,3.5,5,0.39999999999999997,11.0
0,3.5500000000000003,1,0.0,0.0
0,3.5500000000000003,0,0.0,0.0
1,3.5500000000000003,1,1.0000000000000002,4.0
